ztop,Age,Deuterium,dT
1431.1,105551.52,-419.5,-4.75
1431.65,105608.38,-420.4,-4.9
1432.2,105666.17,-422,-5.16
1432.75,105725.1,-422.6,-5.26
1433.3,105784.72,-421.8,-5.13
1433.85,105843.87,-422.7,-5.27
1434.4,105902.02,-412.2,-3.54
1434.95,105955.56,-417.9,-4.48
1435.5,106010.62,-420,-4.82
1436.05,106066.94,-415.7,-4.11
1436.6,106122,-418.1,-4.51
1437.15,106177.62,-418.7,-4.6
1437.7,106233.79,-414.7,-3.94
1438.25,106287.17,-414.7,-3.94
1438.8,106340.39,-416,-4.16
1439.35,106394.38,-413.1,-3.68
1439.9,106446.75,-414.7,-3.94
1440.45,106499.35,-411,-3.33
1441,106550.42,-412.6,-3.59
1441.55,106601.29,-409.1,-3.01
1442.1,106651.42,-413.4,-3.72
1442.65,106703.57,-416,-4.15
1443.2,106758.92,-422.2,-5.17
1443.75,106817.56,-420.1,-4.83
1444.3,106876.1,-418.9,-4.63
1444.85,106933.3,-415.3,-4.03
1445.4,106987.75,-420.1,-4.82
1445.95,107045.9,-416.9,-4.29
1446.5,107102.59,-421.2,-5
1447.05,107161.89,-423.2,-5.32
1447.6,107222.79,-421.6,-5.06
1448.15,107283.07,-420.5,-4.87
1448.7,107342.59,-426.3,-5.83
1449.25,107406.15,-421.5,-5.03
1449.8,107467.73,-424.5,-5.52
1450.35,107529.85,-420.8,-4.91
1450.9,107589.96,-424.9,-5.58
1451.45,107653.49,-425.2,-5.63
1452,107717.31,-424.7,-5.54
1452.55,107781.28,-429,-6.25
1453.1,107848.86,-428.9,-6.23
1453.65,107917.02,-429.9,-6.39
1454.2,107985.94,-430.4,-6.46
1454.75,108055.51,-429.9,-6.38
1455.3,108124.94,-430.8,-6.52
1455.85,108195.23,-432.6,-6.81
1456.4,108267.46,-433.1,-6.89
1456.95,108340.46,-436.9,-7.51
1457.5,108416.49,-430,-6.36
1458.05,108487.42,-433.7,-6.97
1458.6,108560.74,-431.1,-6.53
1459.15,108632.37,-433.2,-6.88
1459.7,108705.04,-430.1,-6.36
1460.25,108776.27,-435.2,-7.19
1460.8,108850.75,-430.6,-6.43
1461.35,108922.13,-430.8,-6.46
1461.9,108993.6,-438.6,-7.74
1462.45,109071.79,-430,-6.31
1463,109143.21,-427,-5.81
1463.55,109210.99,-429.7,-6.25
1464.1,109280.35,-428.7,-6.08
1464.65,109348.84,-424.6,-5.39
1465.2,109416.03,-434.6,-7.04
1465.75,109489.7,-427.2,-5.81
1466.3,109557.15,-426.1,-5.62
1466.85,109623.76,-425.9,-5.58
1467.4,109690.1,-426.1,-5.61
1467.95,109756.42,-424.9,-5.41
1468.5,109821.6,-422.5,-5.01
1469.05,109885.32,-432.3,-6.62
1469.6,109957.47,-426.6,-5.67
1470.15,110024.51,-418,-4.25
1470.7,110084.96,-424.7,-5.35
1471.25,110151.15,-431.2,-6.42
1471.8,110221.89,-426.4,-5.62
1472.35,110290.06,-426.2,-5.58
1472.9,110356.04,-419.5,-4.47
1473.45,110418.55,-423.5,-5.12
1474,110482.43,-424.4,-5.27
1474.55,110547.87,-424.4,-5.26
1475.1,110613.82,-426.3,-5.57
1475.65,110681,-425.4,-5.41
1476.2,110747.35,-421.6,-4.78
1476.75,110811.37,-424.7,-5.29
1477.3,110876.5,-421.8,-4.8
1477.85,110940.18,-422.6,-4.93
1478.4,111004.83,-425.8,-5.45
1478.95,111071.29,-423.1,-5
1479.5,111136.48,-422.9,-4.96
1480.05,111200.33,-417.8,-4.12
1480.6,111262.68,-427.6,-5.73
1481.15,111330.42,-427.9,-5.77
1481.7,111399.52,-421.4,-4.69
1482.25,111464.65,-425.8,-5.41
1482.8,111531.57,-424.5,-5.19
1483.35,111597.73,-420,-4.44
1483.9,111661.58,-426,-5.43
1484.45,111728.75,-426.3,-5.47
1485,111797.26,-425,-5.25
